id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Camélien;Rey;Boniface.Meunier75@yahoo.fr;repurpose withdrawal;2023-01-08T08:43:34;71697;45464
2;Azélie;Lacroix;Agnan.Chevalier@gmail.com;withdrawal;2023-01-08T12:40:26;75289;21024
3;Valéry;Aubry;Adalsinde.Perrin@gmail.com;Sleek;2023-01-07T21:43:50;71090;65309
4;Auguste;Roussel;Alaine.Sanchez@hotmail.fr;reinvent orchestrate;2023-01-07T17:13:27;52820;82484
5;Anastase;Fontaine;Laurence14@hotmail.fr;mobile Granite;2023-01-08T11:51:21;13439;33970
6;Adrienne;Roux;Marine.Olivier73@gmail.com;Kazakhstan time-frame;2023-01-07T20:37:33;64329;13556
7;Ernestine;Andre;Anal72@yahoo.fr;Devolved rich;2023-01-07T23:07:41;54588;45928
8;Christiane;Schneider;Astart8@yahoo.fr;payment Bretagne;2023-01-08T13:11:05;3244;21747
9;Désiré;Vasseur;Salom_Mercier98@hotmail.fr;white;2023-01-08T04:31:44;90189;81327
10;Acanthe;Rey;Aubertine79@gmail.com;Table Alsace Checking;2023-01-07T17:11:54;32637;8639
